name,chembl_id,type,first_approval,oral,therapeutic_flag,approved
TRIFLUOPERAZINE,CHEMBL422,Small molecule,1959.0,True,True,True
BETAXOLOL,CHEMBL423,Small molecule,1985.0,True,True,True
OLSALAZINE,CHEMBL425,Small molecule,1990.0,True,True,True
PROPRANOLOL,CHEMBL27,Small molecule,1967.0,True,True,True
PRACTOLOL,CHEMBL6995,Small molecule,,False,True,True
MECHLORETHAMINE,CHEMBL427,Small molecule,1949.0,False,True,True
PENICILLIN G,CHEMBL29,Small molecule,1947.0,True,True,True
TROVAFLOXACIN,CHEMBL428,Small molecule,1997.0,True,True,True
CIMETIDINE,CHEMBL30,Small molecule,1977.0,True,True,True
GATIFLOXACIN,CHEMBL31,Small molecule,1999.0,True,True,True
LABETALOL,CHEMBL429,Small molecule,1984.0,True,True,True
MOXIFLOXACIN,CHEMBL32,Small molecule,1999.0,True,True,True
LEVOFLOXACIN ANHYDROUS,CHEMBL33,Small molecule,1996.0,True,True,True
GEMIFLOXACIN,CHEMBL430,Small molecule,2003.0,True,True,True
SPIRAPRIL,CHEMBL431,Small molecule,1994.0,True,True,True
VALPROATE SODIUM,CHEMBL433,Small molecule,1996.0,False,True,True
ISOPROTERENOL,CHEMBL434,Small molecule,1956.0,False,True,True
HYDROCHLOROTHIAZIDE,CHEMBL435,Small molecule,1959.0,True,True,True
FUROSEMIDE,CHEMBL35,Small molecule,1966.0,True,True,True
PYRIMETHAMINE,CHEMBL36,Small molecule,1953.0,True,True,True
TOLRESTAT,CHEMBL436,Small molecule,1989.0,False,True,True
SULFATHIAZOLE,CHEMBL437,Small molecule,1945.0,False,True,True
SULFAMERAZINE,CHEMBL438,Small molecule,1982.0,True,True,True
SULFADIAZINE,CHEMBL439,Small molecule,1941.0,True,True,True
THIAMYLAL,CHEMBL440,Small molecule,1982.0,False,True,True
THIOPENTAL,CHEMBL441,Small molecule,1982.0,False,True,True
CYCLOBARBITAL,CHEMBL268164,Small molecule,,False,True,True
ERGOTAMINE,CHEMBL442,Small molecule,1948.0,True,True,True
TRETINOIN,CHEMBL38,Small molecule,1971.0,True,True,True
METHOHEXITAL,CHEMBL7413,Small molecule,1960.0,False,True,True
PHENOBARBITAL,CHEMBL40,Small molecule,2022.0,False,True,True
FLUOXETINE,CHEMBL41,Small molecule,1987.0,True,True,True
SULFAMETHOXAZOLE,CHEMBL443,Small molecule,1973.0,True,True,True
CLOZAPINE,CHEMBL42,Small molecule,1989.0,True,True,True
NORTRIPTYLINE,CHEMBL445,Small molecule,1964.0,True,True,True
SULFAMETHAZINE,CHEMBL446,Small molecule,1949.0,True,True,True
SECOBARBITAL,CHEMBL447,Small molecule,1950.0,True,True,True
PENTOBARBITAL,CHEMBL448,Small molecule,1973.0,True,True,True
QUINACRINE,CHEMBL7568,Small molecule,,False,False,True
AMOBARBITAL,CHEMBL267894,Small molecule,,False,True,True
HEXOBARBITAL,CHEMBL7728,Small molecule,,False,False,True
BUTABARBITAL,CHEMBL449,Small molecule,1939.0,True,True,True
APROBARBITAL,CHEMBL7863,Small molecule,,False,False,True
METHARBITAL,CHEMBL450,Small molecule,1982.0,True,True,True
CHLORDIAZEPOXIDE,CHEMBL451,Small molecule,1960.0,True,True,True
MELAGATRAN,CHEMBL266349,Small molecule,2004.0,False,False,True
CLONAZEPAM,CHEMBL452,Small molecule,1975.0,True,True,True
SULFISOXAZOLE,CHEMBL453,Small molecule,1971.0,True,True,True
SULFAMETHOXYPYRIDAZINE,CHEMBL268869,Small molecule,,False,True,True
BUTALBITAL,CHEMBL454,Small molecule,1983.0,True,True,True
SULFACETAMIDE,CHEMBL455,Small molecule,1945.0,False,True,True
AMSACRINE,CHEMBL43,Small molecule,1987.0,False,True,True
ETHACRYNIC ACID,CHEMBL456,Small molecule,1967.0,True,True,True
TICRYNAFEN,CHEMBL267744,Small molecule,1979.0,False,False,True
GEMFIBROZIL,CHEMBL457,Small molecule,1981.0,True,True,True
MELATONIN,CHEMBL45,Small molecule,2007.0,True,True,True
ONDANSETRON,CHEMBL46,Small molecule,1991.0,True,True,True
BUSPIRONE,CHEMBL49,Small molecule,1986.0,True,True,True
METHYLDOPA,CHEMBL459,Small molecule,1962.0,True,True,True
MOLINDONE,CHEMBL460,Small molecule,1974.0,True,True,True
APOMORPHINE,CHEMBL53,Small molecule,2001.0,False,True,True
HALOPERIDOL,CHEMBL54,Small molecule,1967.0,True,True,True
PENTAMIDINE,CHEMBL55,Small molecule,1984.0,False,True,True
AMINOHIPPURIC ACID,CHEMBL463,Small molecule,1982.0,False,False,True
ETRETINATE,CHEMBL464,Small molecule,1986.0,True,True,True
NEVIRAPINE,CHEMBL57,Small molecule,1996.0,True,True,True
DRONABINOL,CHEMBL465,Small molecule,1985.0,True,True,True
MITOXANTRONE,CHEMBL58,Small molecule,1987.0,False,True,True
DOPAMINE,CHEMBL59,Small molecule,1974.0,False,True,True
HYDROXYUREA,CHEMBL467,Small molecule,1967.0,True,True,True
PODOFILOX,CHEMBL61,Small molecule,1990.0,False,True,True
ISONIAZID,CHEMBL64,Small molecule,1952.0,True,True,True
THALIDOMIDE,CHEMBL468,Small molecule,1956.0,True,True,True
KETOROLAC,CHEMBL469,Small molecule,1989.0,True,True,True
SOTALOL,CHEMBL471,Small molecule,1992.0,True,True,True
GLYBURIDE,CHEMBL472,Small molecule,1984.0,True,True,True
HEXESTROL,CHEMBL9225,Small molecule,,False,False,True
DOFETILIDE,CHEMBL473,Small molecule,1999.0,True,True,True
DACARBAZINE,CHEMBL476,Small molecule,1975.0,False,True,True
ADENOSINE,CHEMBL477,Small molecule,1989.0,False,True,True
THIORIDAZINE,CHEMBL479,Small molecule,1962.0,True,True,True
LANSOPRAZOLE,CHEMBL480,Small molecule,1995.0,True,True,True
IRINOTECAN,CHEMBL481,Small molecule,1996.0,False,True,True
MORPHINE,CHEMBL70,Small molecule,1984.0,True,True,True
CODEINE,CHEMBL485,Small molecule,1952.0,True,True,True
CHLORPROMAZINE,CHEMBL71,Small molecule,1957.0,True,True,True
DESIPRAMINE,CHEMBL72,Small molecule,1964.0,True,True,True
AMINOGLUTETHIMIDE,CHEMBL488,Small molecule,1980.0,True,True,True
CROMOLYN SODIUM,CHEMBL74,Small molecule,1982.0,True,True,True
CHLOROQUINE,CHEMBL76,Small molecule,1949.0,True,True,True
PAROXETINE,CHEMBL490,Small molecule,1992.0,True,True,True
ETORICOXIB,CHEMBL416146,Small molecule,2002.0,True,True,True
LIDOCAINE,CHEMBL79,Small molecule,1948.0,True,True,True
ETIDOCAINE,CHEMBL492,Small molecule,1976.0,False,True,True
NALOXONE,CHEMBL80,Small molecule,1971.0,True,True,True
RALOXIFENE,CHEMBL81,Small molecule,1997.0,True,True,True
TAMOXIFEN,CHEMBL83,Small molecule,1977.0,True,True,True
BROMOCRIPTINE,CHEMBL493,Small molecule,1978.0,True,True,True
ILOPROST,CHEMBL494,Small molecule,2003.0,False,True,True
TOPOTECAN,CHEMBL84,Small molecule,1996.0,True,True,True
RISPERIDONE,CHEMBL85,Small molecule,1993.0,True,True,True
CROMOLYN,CHEMBL428880,Small molecule,1982.0,True,True,True
METOCLOPRAMIDE,CHEMBL86,Small molecule,1979.0,True,True,True
PACLITAXEL,CHEMBL428647,Small molecule,1992.0,False,True,True
ALPROSTADIL,CHEMBL495,Small molecule,1981.0,False,True,True
HEXACHLOROPHENE,CHEMBL496,Small molecule,1949.0,False,True,True
CLIOQUINOL,CHEMBL497,Small molecule,1934.0,False,True,True
AGOMELATINE,CHEMBL10878,Small molecule,2009.0,True,True,True
CYCLOPHOSPHAMIDE ANHYDROUS,CHEMBL88,Small molecule,1959.0,True,True,True
CHLORPROPAMIDE,CHEMBL498,Small molecule,1958.0,True,True,True
TIMOLOL,CHEMBL499,Small molecule,1978.0,True,True,True
PINDOLOL,CHEMBL500,Small molecule,1982.0,True,True,True
CISPLATIN,CHEMBL11359,Small molecule,1978.0,False,True,True
HYDRALAZINE,CHEMBL276832,Small molecule,1953.0,True,True,True
AMPHETAMINE SULFATE,CHEMBL501,Small molecule,1960.0,True,True,True
AMPHOTERICIN B,CHEMBL267345,Small molecule,1964.0,True,True,True
HISTAMINE,CHEMBL90,Small molecule,1939.0,False,True,True
MICONAZOLE,CHEMBL91,Small molecule,1974.0,False,True,True
DOCETAXEL ANHYDROUS,CHEMBL92,Small molecule,1995.0,False,True,True
ZILEUTON,CHEMBL93,Small molecule,1996.0,True,True,True
TACRINE,CHEMBL95,Small molecule,1993.0,True,True,True
DONEPEZIL,CHEMBL502,Small molecule,1996.0,True,True,True
LOVASTATIN,CHEMBL503,Small molecule,1987.0,True,True,True
OZAGREL,CHEMBL11662,Small molecule,1988.0,True,False,True
ACETANILIDE,CHEMBL269644,Small molecule,,False,False,True
DIMETHYL SULFOXIDE,CHEMBL504,Small molecule,1978.0,False,True,True
CHLORPHENIRAMINE,CHEMBL505,Small molecule,1950.0,True,True,True
PRIMAQUINE,CHEMBL506,Small molecule,1952.0,True,True,True
MECLOFENAMIC ACID,CHEMBL509,Small molecule,1980.0,True,True,True
PYRILAMINE,CHEMBL511,Small molecule,1973.0,True,True,True
SERTINDOLE,CHEMBL12713,Small molecule,1996.0,True,True,True
CARMUSTINE,CHEMBL513,Small molecule,1977.0,False,True,True
LOMUSTINE,CHEMBL514,Small molecule,1976.0,True,True,True
CHLORAMBUCIL,CHEMBL515,Small molecule,1957.0,True,True,True
CYPROHEPTADINE,CHEMBL516,Small molecule,1961.0,True,True,True
INAMRINONE,CHEMBL12856,Small molecule,1984.0,False,True,True
DISOPYRAMIDE,CHEMBL517,Small molecule,1977.0,True,True,True
VORINOSTAT,CHEMBL98,Small molecule,2006.0,True,True,True
IBUPROFEN,CHEMBL521,Small molecule,1974.0,True,True,True
CLOMETACIN,CHEMBL13376,Small molecule,,False,False,True
FLUNITRAZEPAM,CHEMBL13280,Small molecule,,True,True,True
METHOXAMINE,CHEMBL524,Small molecule,1982.0,False,True,True
PROPOFOL,CHEMBL526,Small molecule,1989.0,False,True,True
PIROXICAM,CHEMBL527,Small molecule,1982.0,True,True,True
CEFTIZOXIME,CHEMBL528,Small molecule,1983.0,False,True,True
PHENYLBUTAZONE,CHEMBL101,Small molecule,1980.0,True,True,True
AZITHROMYCIN,CHEMBL529,Small molecule,1991.0,True,True,True
AMDINOCILLIN,CHEMBL530,Small molecule,1984.0,False,True,True
PERGOLIDE,CHEMBL531,Small molecule,1988.0,True,True,True
ERYTHROMYCIN,CHEMBL532,Small molecule,1964.0,True,True,True
IBUTILIDE,CHEMBL533,Small molecule,1995.0,False,True,True
PROGESTERONE,CHEMBL103,Small molecule,1976.0,True,True,True
KETOTIFEN,CHEMBL534,Small molecule,1999.0,False,True,True
SUNITINIB,CHEMBL535,Small molecule,2006.0,True,True,True
HYDROQUINONE,CHEMBL537,Small molecule,2002.0,False,False,True
ACETIC ACID,CHEMBL539,Small molecule,1982.0,False,False,True
PHENOL,CHEMBL14060,Small molecule,,False,True,True
MEQUINOL,CHEMBL544,Small molecule,1999.0,False,True,True
CLOTRIMAZOLE,CHEMBL104,Small molecule,1975.0,True,True,True
MITOMYCIN,CHEMBL105,Small molecule,1981.0,False,True,True
ALCOHOL,CHEMBL545,Small molecule,1982.0,False,False,True
OXPRENOLOL,CHEMBL546,Small molecule,1983.0,True,True,True
FLUCONAZOLE,CHEMBL106,Small molecule,1990.0,True,True,True
ISOTRETINOIN,CHEMBL547,Small molecule,1982.0,True,True,True
ILOPERIDONE,CHEMBL14376,Small molecule,2009.0,True,True,True
DINOPROSTONE,CHEMBL548,Small molecule,1977.0,False,True,True
NEOSTIGMINE,CHEMBL278020,Small molecule,2013.0,False,True,True
REBOXETINE,CHEMBL14370,Small molecule,1997.0,True,True,True
CITALOPRAM,CHEMBL549,Small molecule,1998.0,True,True,True
PILOCARPINE,CHEMBL550,Small molecule,1974.0,True,True,True
COLCHICINE,CHEMBL107,Small molecule,1961.0,True,True,True
ERLOTINIB,CHEMBL553,Small molecule,2004.0,True,True,True
LAPATINIB,CHEMBL554,Small molecule,2007.0,True,True,True
CARBAMAZEPINE,CHEMBL108,Small molecule,1968.0,True,True,True
VALPROIC ACID,CHEMBL109,Small molecule,1978.0,True,True,True
TEMAFLOXACIN,CHEMBL277100,Small molecule,1992.0,False,True,True
BENZNIDAZOLE,CHEMBL110,Small molecule,2017.0,True,True,True
DEFEROXAMINE,CHEMBL556,Small molecule,1968.0,False,True,True
MEXILETINE,CHEMBL558,Small molecule,1985.0,True,True,True
DEXTROTHYROXINE,CHEMBL559,Small molecule,1967.0,True,True,True
RIMONABANT,CHEMBL111,Small molecule,2006.0,True,True,True
NOMIFENSINE,CHEMBL273575,Small molecule,1984.0,True,False,True
LOMEFLOXACIN,CHEMBL561,Small molecule,1992.0,True,True,True
GRISEOFULVIN,CHEMBL562,Small molecule,1962.0,True,True,True
FLURBIPROFEN,CHEMBL563,Small molecule,1986.0,True,True,True
PROMAZINE,CHEMBL564,Small molecule,1956.0,True,True,True
CLOFIBRATE,CHEMBL565,Small molecule,1967.0,True,True,True
ACETAMINOPHEN,CHEMBL112,Small molecule,1968.0,True,True,True
CAFFEINE,CHEMBL113,Small molecule,1948.0,True,True,True
PHENACETIN,CHEMBL16073,Small molecule,,False,False,True
PERPHENAZINE,CHEMBL567,Small molecule,1957.0,True,True,True
OXAZEPAM,CHEMBL568,Small molecule,1965.0,True,True,True
SULINDAC,CHEMBL15770,Small molecule,1978.0,True,True,True
FENCLOFENAC,CHEMBL15677,Small molecule,1978.0,False,True,True
INDALPINE,CHEMBL276520,Small molecule,,False,False,True
PROCAINE,CHEMBL569,Small molecule,1954.0,False,True,True
TRIFLUPROMAZINE,CHEMBL570,Small molecule,1957.0,True,True,True
KETOPROFEN,CHEMBL571,Small molecule,1986.0,True,True,True
NITROFURANTOIN,CHEMBL572,Small molecule,1953.0,True,True,True
INDOPROFEN,CHEMBL15870,Small molecule,1979.0,False,False,True
LINDANE,CHEMBL15891,Small molecule,1974.0,False,True,True
NIACIN,CHEMBL573,Small molecule,1982.0,True,False,True
METHICILLIN,CHEMBL575,Small molecule,1982.0,False,True,True
TRICHLOROETHANE,CHEMBL16080,Small molecule,,False,False,True
ENALAPRILAT ANHYDROUS,CHEMBL577,Small molecule,1988.0,False,True,True
ENALAPRIL,CHEMBL578,Small molecule,1985.0,True,True,True
LORAZEPAM,CHEMBL580,Small molecule,1977.0,True,True,True
ISOPROPYL ALCOHOL,CHEMBL582,Small molecule,2000.0,False,False,True
GREPAFLOXACIN,CHEMBL583,Small molecule,1997.0,True,True,True
SAQUINAVIR,CHEMBL114,Small molecule,1995.0,True,True,True
INDINAVIR ANHYDROUS,CHEMBL115,Small molecule,1996.0,True,True,True
NELFINAVIR,CHEMBL584,Small molecule,1997.0,True,True,True
AMPRENAVIR,CHEMBL116,Small molecule,1999.0,True,True,True
TRIAMTERENE,CHEMBL585,Small molecule,1964.0,True,True,True
PRONETALOL,CHEMBL16476,Small molecule,,False,False,True
CELECOXIB,CHEMBL118,Small molecule,1998.0,True,True,True
TRIMETREXATE,CHEMBL119,Small molecule,1993.0,False,True,True
FENOLDOPAM,CHEMBL588,Small molecule,1997.0,False,True,True
ROPINIROLE,CHEMBL589,Small molecule,1997.0,True,True,True
MENADIONE,CHEMBL590,Small molecule,1982.0,True,False,True
ETHCHLORVYNOL,CHEMBL591,Small molecule,1961.0,True,True,True
TERFENADINE,CHEMBL17157,Small molecule,1985.0,False,True,True
LEVORPHANOL,CHEMBL592,Small molecule,1991.0,True,True,True
DELAVIRDINE,CHEMBL593,Small molecule,1997.0,True,True,True
EMEDASTINE,CHEMBL594,Small molecule,1997.0,False,True,True
PIOGLITAZONE,CHEMBL595,Small molecule,1999.0,True,True,True
FENTANYL,CHEMBL596,Small molecule,1968.0,True,True,True
ROSIGLITAZONE,CHEMBL121,Small molecule,1999.0,True,True,True
MARALIXIBAT CHLORIDE,CHEMBL17879,Small molecule,2021.0,True,True,True
LOFEXIDINE,CHEMBL17860,Small molecule,2018.0,True,True,True
PHENTOLAMINE,CHEMBL597,Small molecule,1952.0,False,True,True
PLERIXAFOR,CHEMBL18442,Small molecule,2008.0,False,True,True
TOLOXATONE,CHEMBL18116,Small molecule,1984.0,True,False,True
MELOXICAM,CHEMBL599,Small molecule,2000.0,True,True,True
ACETYLCYSTEINE,CHEMBL600,Small molecule,1963.0,True,True,True
AMINOLEVULINIC ACID,CHEMBL601,Small molecule,1999.0,True,True,True
CYSTEAMINE,CHEMBL602,Small molecule,1994.0,True,True,True
NALTREXONE,CHEMBL19019,Small molecule,1984.0,True,True,True
ZAFIRLUKAST,CHEMBL603,Small molecule,1996.0,True,True,True
"CEFPROZIL ANHYDROUS, (E)-",CHEMBL276568,Small molecule,1991.0,True,True,True
ROFECOXIB,CHEMBL122,Small molecule,1999.0,True,True,True
MOXONIDINE,CHEMBL19236,Small molecule,1991.0,True,True,True
CUPRIC SULFATE,CHEMBL604,Small molecule,1987.0,False,True,True
PROCAINAMIDE HYDROCHLORIDE,CHEMBL605,Small molecule,1950.0,True,True,True
MISOPROSTOL,CHEMBL606,Small molecule,1988.0,True,True,True
MACIMORELIN,CHEMBL278623,Small molecule,2017.0,True,True,True
MEPERIDINE,CHEMBL607,Small molecule,1942.0,True,True,True
METHAQUALONE,CHEMBL282052,Small molecule,,False,False,True
PROBUCOL,CHEMBL608,Small molecule,1977.0,True,True,True
LOXOPROFEN,CHEMBL19299,Small molecule,1986.0,True,False,True
TRIENTINE,CHEMBL609,Small molecule,1985.0,True,True,True
ZOMEPIRAC,CHEMBL19490,Small molecule,1980.0,False,False,True
TERAZOSIN,CHEMBL611,Small molecule,1987.0,True,True,True
LEVAMFETAMINE,CHEMBL19393,Small molecule,,False,False,True
DEXTROAMPHETAMINE,CHEMBL612,Small molecule,1955.0,True,True,True
SITAXENTAN,CHEMBL282724,Small molecule,2006.0,True,True,True
PYRAZINAMIDE,CHEMBL614,Small molecule,1971.0,True,True,True
IBUDILAST,CHEMBL19449,Small molecule,1989.0,True,False,True
SAQUINAVIR MESYLATE,CHEMBL282042,Small molecule,1995.0,True,True,True
PENICILLIN V,CHEMBL615,Small molecule,1958.0,True,True,True
CEPHALOTHIN,CHEMBL617,Small molecule,1974.0,False,True,True
MILTEFOSINE,CHEMBL125,Small molecule,2014.0,True,True,True
LINEZOLID,CHEMBL126,Small molecule,2000.0,True,True,True
CLIDINIUM,CHEMBL620,Small molecule,1982.0,True,True,True
MEROPENEM,CHEMBL127,Small molecule,1996.0,False,True,True
TRAZODONE,CHEMBL621,Small molecule,1981.0,True,True,True
ETODOLAC,CHEMBL622,Small molecule,1991.0,True,True,True
PRANLUKAST,CHEMBL21333,Small molecule,1995.0,True,False,True
NEFAZODONE,CHEMBL623,Small molecule,1994.0,True,True,True
THIABENDAZOLE,CHEMBL625,Small molecule,1967.0,True,True,True
XANOMELINE,CHEMBL21536,Small molecule,2024.0,True,False,True
NAFTIFINE,CHEMBL626,Small molecule,1988.0,False,True,True
PENTOXIFYLLINE,CHEMBL628,Small molecule,1984.0,True,True,True
AMITRIPTYLINE,CHEMBL629,Small molecule,1961.0,True,True,True
DIBROMSALAN,CHEMBL21869,Small molecule,,False,False,True
TRIBROMSALAN,CHEMBL24944,Small molecule,,False,False,True
SUMATRIPTAN,CHEMBL128,Small molecule,1992.0,True,True,True
PROPAFENONE,CHEMBL631,Small molecule,1989.0,True,True,True
BETAMETHASONE,CHEMBL632,Small molecule,1961.0,True,True,True
AMIODARONE,CHEMBL633,Small molecule,1985.0,True,True,True
ALFENTANIL,CHEMBL634,Small molecule,1986.0,False,True,True
PREDNISONE,CHEMBL635,Small molecule,1955.0,True,True,True
RIVASTIGMINE,CHEMBL636,Small molecule,1998.0,True,True,True
VENLAFAXINE,CHEMBL637,Small molecule,1993.0,True,True,True
ZIDOVUDINE,CHEMBL129,Small molecule,1987.0,True,True,True
VORICONAZOLE,CHEMBL638,Small molecule,2002.0,True,True,True
AZELASTINE,CHEMBL639,Small molecule,1996.0,False,True,True
CHLORAMPHENICOL,CHEMBL130,Small molecule,1950.0,True,True,True
PROCAINAMIDE,CHEMBL640,Small molecule,1950.0,True,True,True
ATOMOXETINE,CHEMBL641,Small molecule,2002.0,True,True,True
ACEBUTOLOL,CHEMBL642,Small molecule,1984.0,True,True,True
PROMETHAZINE,CHEMBL643,Small molecule,1951.0,True,True,True
PREDNISOLONE,CHEMBL131,Small molecule,1955.0,True,True,True
TRIMIPRAMINE,CHEMBL644,Small molecule,1979.0,True,True,True
BISOPROLOL,CHEMBL645,Small molecule,1992.0,True,True,True
TRIAZOLAM,CHEMBL646,Small molecule,1978.0,True,True,True
APRACLONIDINE,CHEMBL647,Small molecule,1987.0,False,True,True
CYCLIZINE,CHEMBL648,Small molecule,1982.0,False,True,True
NEBIVOLOL,CHEMBL434394,Small molecule,2007.0,True,True,True
METHYLPREDNISOLONE,CHEMBL650,Small molecule,1957.0,True,True,True
METHADONE,CHEMBL651,Small molecule,1947.0,True,True,True
FLECAINIDE,CHEMBL652,Small molecule,1985.0,True,True,True
CLONIDINE,CHEMBL134,Small molecule,1974.0,True,True,True
MIRTAZAPINE,CHEMBL654,Small molecule,1996.0,True,True,True
MIDAZOLAM,CHEMBL655,Small molecule,1985.0,True,True,True
REMOXIPRIDE,CHEMBL22242,Small molecule,1990.0,True,True,True
OXYCODONE,CHEMBL656,Small molecule,1950.0,True,True,True
ESTRADIOL,CHEMBL135,Small molecule,1975.0,True,True,True
DIPHENHYDRAMINE,CHEMBL657,Small molecule,1946.0,True,True,True
SUFENTANIL,CHEMBL658,Small molecule,1984.0,False,True,True
GALANTAMINE,CHEMBL659,Small molecule,2001.0,True,True,True
AMANTADINE,CHEMBL660,Small molecule,1968.0,True,True,True
ALPRAZOLAM,CHEMBL661,Small molecule,1981.0,True,True,True
MAPROTILINE,CHEMBL21731,Small molecule,1980.0,True,True,True
FOSCARNET,CHEMBL666,Small molecule,1991.0,False,True,True
ACETYLCHOLINE,CHEMBL667,Small molecule,1973.0,False,True,True
METRONIDAZOLE,CHEMBL137,Small molecule,1963.0,True,True,True
PROTRIPTYLINE,CHEMBL668,Small molecule,1967.0,True,True,True
CYCLOBENZAPRINE,CHEMBL669,Small molecule,1977.0,True,True,True
THIOTEPA,CHEMBL671,Small molecule,1959.0,False,True,True
FENOFIBRATE,CHEMBL672,Small molecule,1993.0,True,True,True
PARGYLINE,CHEMBL673,Small molecule,1982.0,True,True,True
ALENDRONATE SODIUM,CHEMBL675,Small molecule,1995.0,True,True,True
LEVONORDEFRIN,CHEMBL677,Small molecule,1960.0,False,True,True
EPINEPHRINE,CHEMBL679,Small molecule,1965.0,False,True,True
CEFACLOR ANHYDROUS,CHEMBL680,Small molecule,1979.0,True,True,True
ETOMIDATE,CHEMBL681,Small molecule,1982.0,False,True,True
AMODIAQUINE,CHEMBL682,Small molecule,1982.0,True,True,True
DIETHYLCARBAMAZINE,CHEMBL684,Small molecule,1950.0,True,True,True
MEBENDAZOLE,CHEMBL685,Small molecule,1974.0,True,True,True
DICLOFENAC,CHEMBL139,Small molecule,1988.0,True,True,True
MEFENAMIC ACID,CHEMBL686,Small molecule,1967.0,True,True,True
FENTANYL CITRATE,CHEMBL688,Small molecule,1968.0,True,True,True
MANNITOL,CHEMBL689,Small molecule,1982.0,False,True,True
PRAVASTATIN SODIUM,CHEMBL690,Small molecule,1991.0,True,True,True
PRENYLAMINE,CHEMBL24072,Small molecule,,False,False,True
ETHINYL ESTRADIOL,CHEMBL691,Small molecule,1982.0,True,True,True
DALFAMPRIDINE,CHEMBL284348,Small molecule,2010.0,True,True,True
GLYCERIN,CHEMBL692,Small molecule,1982.0,False,False,True
TRIMETHADIONE,CHEMBL695,Small molecule,1946.0,True,True,True
ETHOSUXIMIDE,CHEMBL696,Small molecule,1960.0,True,True,True
METHSUXIMIDE,CHEMBL697,Small molecule,1957.0,True,True,True
TETRACAINE,CHEMBL698,Small molecule,2005.0,False,True,True
SULFAPYRIDINE,CHEMBL700,Small molecule,1939.0,True,True,True
BACLOFEN,CHEMBL701,Small molecule,1977.0,True,True,True
PIPERACILLIN,CHEMBL702,Small molecule,1981.0,False,True,True
SUXAMETHONIUM,CHEMBL703,Small molecule,1952.0,False,True,True
MESALAMINE,CHEMBL704,Small molecule,1987.0,True,True,True
ALITRETINOIN,CHEMBL705,Small molecule,1999.0,False,True,True
CETYL ALCOHOL,CHEMBL706,Small molecule,1990.0,False,True,True
SILODOSIN,CHEMBL24778,Small molecule,2008.0,True,True,True
CHOLINE CHLORIDE,CHEMBL282468,Small molecule,2012.0,False,False,True
DOXAZOSIN,CHEMBL707,Small molecule,1990.0,True,True,True
